appid,name,release_date,release_date_iso,price_currency,price_final_cents,price_initial_cents,price_discount_percent,price_final_formatted,developers,publishers,store_url
7800,Stubbs the Zombie in Rebel Without a Pulse,"Mar 16, 2021",2021-03-16,USD,1999,1999,0,$19.99,Aspyr,Aspyr,https://store.steampowered.com/app/7800/
11550,Second Sight,"Apr 8, 2021",2021-04-08,USD,999,999,0,$9.99,Free Radical Design,THQ Nordic,https://store.steampowered.com/app/11550/
12364,Big Mutha Truckers,"Jun 8, 2025",2025-06-08,USD,899,899,0,$8.99,Eutechnyx,Strategy First,https://store.steampowered.com/app/12364/
